title,dt_from,dt_to,location,url,desc,snapshot_dt
CITIES AT SINGAPORE INTERNATIONAL WATER WEEK 2016 (CITIES AT SIWW 2016) FORMALLY URBAN SOLUTIONS EXPO,2016-07-11 00:00:00.000000,2016-07-12 00:00:00.000000,Singapore,https://gems.gevme.com/cities-at-singapore-international-water-week-2016-cities-at-siww-2016-formally-urban-solutions-expo,"CITIES AT SIWW 2016 - The largest gathering of SMART Cities and urban solutions in the Asia region. Visit: http://www.siww.com.sg/about-water-expoThis event is supported under International Marketing Activities Programme (iMAP). For more details of the event, please contact the organiser",2019-03-24 12:15:06.915008
WASTE @ CITIES SOLUTIONS SINGAPORE EXPO 2016 (WASTE@CSSE 2016),2016-07-11 00:00:00.000000,2016-07-12 00:00:00.000000,Singapore,https://gems.gevme.com/waste-cities-solutions-singapore-expo-2016-waste-csse-2016,"Event serves as an ideal platform to facilitate knowledge and business exchange via technical conference, business forum, technical tours and trade exhibition. It also serves as a distinctive platform to match environmental solutions and business opportunities to attract potential partners and investors to build partnerships and strengthen growth ...",2019-03-24 12:15:06.915008
TOURISM TECHNOLOGY ASIA 2016,2016-07-20 00:00:00.000000,2016-07-20 00:00:00.000000,Singapore,https://gems.gevme.com/tourism-technology-asia-2016,"Tourism Technology Asia 2016 is an exhibition and conference that aims to be a platform that showcases the latest technologies and products serving the modernisation of the tourism industry and its infrastructure space.This event is supported under International Marketing Activities Programme (iMAP). For more details of the event, please contact t...",2019-03-24 12:15:06.915008
MEDICAL MANUFACTURING ASIA 2016,2016-08-31 00:00:00.000000,2016-09-01 00:00:00.000000,Singapore,https://gems.gevme.com/medical-manufacturing-asia-2016,,2019-03-24 12:15:06.915008
BUILD ECO XPO (BEX) ASIA 2016,2016-09-07 00:00:00.000000,2016-09-08 00:00:00.000000,Singapore,https://gems.gevme.com/build-eco-xpo-bex-asia-2016,"Build Eco Xpo (BEX) Asia is the business sourcing, networking and knowledge-sharing platform for the sustainable built environment in Southeast Asia. The event draws together international brands of green building technologies and advancements, to the heart of the region’s community of architects, building owners, contractors, consultants, develop...",2019-03-24 12:15:06.915008
MRO ASIA 2016,2016-09-27 00:00:00.000000,2016-09-28 00:00:00.000000,Singapore,https://gems.gevme.com/mro-asia-2016,"Through MRO Asia-Pacific, Aviation Week continues to be the most reliable source for high-quality speakers and informative, useful and real-time content. It is the premier event in this region that brings together the aviation MRO industry, regionally and globally, to discuss the latest issues and concerns of operators and their service providers ...",2019-03-24 12:15:06.915008
INTERNATIONAL FACILITY MANAGEMENT EXPO 2016,2016-09-28 00:00:00.000000,2016-09-29 00:00:00.000000,Singapore,https://gems.gevme.com/international-facility-management-expo-2016,"The discipline of Facility Management ensures the functionality of the built environment through the integration of people, place, processes and technology. It encompasses a wide variety of products and services including air-conditioning, sanitary wares as well as landscaping. iFaME 2016 will thus bring together the expertise and talent that make...",2019-03-24 12:15:06.915008
SAFETY & SECURITY ASIA 2016,2016-09-28 00:00:00.000000,2016-09-29 00:00:00.000000,Singapore,https://gems.gevme.com/safety-security-asia-2016,"Safety & Security Asia is the longest running security exhibition in Singapore for the past 27 years come 2016. Focusing mainly on the Commercial Security industry, this show differs itself greatly with other security exhibitions which are mainly focusing on Homeland Security industry. Commercial Security, being the main market for most of our phy...",2019-03-24 12:15:06.915008
CUSTOMER FESTIVAL ASIA 2016,2016-10-05 00:00:00.000000,2016-10-05 00:00:00.000000,Singapore,https://gems.gevme.com/customer-festival-asia-2016,"The Customer Festival Asia has been re-modelled to help marketing teams across Asia take their marketing to another level. The event is comprised of four dedicated conference tracks: Loyalty, Experience, Analytics and Digital. The tracks will be made up of case studies from leading brands and innovations from the latest technologies. Alongside the...",2019-03-24 12:15:06.915008
GOVERNMENTWARE 2016 (GOVWARE 2016),2016-10-10 00:00:00.000000,2016-10-11 00:00:00.000000,Singapore,https://gems.gevme.com/governmentware-2016-govware-2016,"This event is supported under International Marketing Activities Programme (iMAP). For more details of the event, please contact the organiser",2019-03-24 12:15:06.915008
MANUFACTURING SOLUTIONS EXPO 2016 (MSE 2016),2016-10-12 00:00:00.000000,2016-10-13 00:00:00.000000,Singapore,https://gems.gevme.com/manufacturing-solutions-expo-2016-mse-2016,"MSE2016 is the only exhibition in Singapore that aims to showcase the industry’s best ideas, innovative technologies and cost effective manufacturing solutions to meet the growing needs of manufacturing companies. While Singapore Pavilions have been organised in last edition, the Singapore exhibitors have given good feedback that this Show is an i...",2019-03-24 12:15:06.915008
CLOUD EXPO ASIA / DATA CENTRE WORLD / CLOUD SECURITY EXPO / SMART IOT 2016,2016-10-12 00:00:00.000000,2016-10-12 00:00:00.000000,Singapore,https://gems.gevme.com/cloud-expo-asia-data-centre-world-cloud-security-expo-smart-iot-2016,"This event is supported under International Marketing Activities Programme (iMAP). For more details of the event, please contact the organiser",2019-03-24 12:15:06.915008
FRANCHISING & LICENSING ASIA 2016 (FLASIA 2016),2016-10-13 00:00:00.000000,2016-10-14 00:00:00.000000,Singapore,https://gems.gevme.com/franchising-licensing-asia-2016-flasia-2016,"Franchising & Licensing Asia (FLAsia) is Asia’s largest and most international event of its kind, an excellent platform that brand owners choose to showcase innovative and unique business concepts. It has proved to be the key international trade event for business leaders in the franchising and licensing fraternity.This event is supported under In...",2019-03-24 12:15:06.915008
BUILDTECH ASIA 2016,2016-10-18 00:00:00.000000,2016-10-19 00:00:00.000000,Singapore,https://gems.gevme.com/buildtech-asia-2016,"""BuildTech Asia (BTA) focuses on the latest technologies and innovation addressing the challenges of building and construction across different industries. This leading trade event provides a platform for business and trade professionals to showcase, share, learn and succeed in the regional built sector. Held during the Singapore Construction Prod...",2019-03-24 12:15:06.915008
SFW BOUTIQUE TRADE 16,2016-10-18 00:00:00.000000,2016-10-19 00:00:00.000000,Singapore,https://gems.gevme.com/sfw-boutique-trade-16,"Previous BlueprintThis event is supported under International Marketing Activities Programme (iMAP). For more details of the event, please contact the organiser",2019-03-24 12:15:06.915008
SINGAPORE INTERNATIONAL ROBO EXPO 2016 (SIRE 2016),2016-11-01 00:00:00.000000,2016-11-01 00:00:00.000000,Singapore,https://gems.gevme.com/singapore-international-robo-expo-2016-sire-2016,"Robotics - Out of the factory, onto everyday businesses and everyday lives.This event is supported under International Marketing Activities Programme (iMAP). For more details of the event, please contact the organiser",2019-03-24 12:15:06.915008
SINGAPORE JEWELLERY & GEM FAIR 2016,2016-11-04 00:00:00.000000,2016-11-06 00:00:00.000000,Singapore,https://gems.gevme.com/singapore-jewellers-association,"Being the largest fine jewellery event in Singapore and the region, the fair will sparkle with internationally acclaimed jewellers from Belgium, Germany, Hong Kong, Israel, Italy, Japan, South Africa, Switzerland, Thailand, USA and the world over displaying a stunning array of the most exquisite jewellery and finely crafted designs. Marked at irre...",2019-03-24 12:15:06.915008
EDTECHXASIA 2016,2016-11-08 00:00:00.000000,2016-11-08 00:00:00.000000,Singapore,https://gems.gevme.com/edtechxasia-2016-6665,"EdTechXAsia is a thought leadership platform created to drive conversations and solutions that are transforming the education and lifelong learning needs of Asia in the 21st century. Produced in partnership with EdTechXGlobal and SingEx Exhibitions, the EdTechXAsia summit and exhibition event will be held in Singapore at Singapore EXPO @ MAX Atria...",2019-03-24 12:15:06.915008
OSEA 2016,2016-11-29 00:00:00.000000,2016-12-01 00:00:00.000000,Singapore,https://gems.gevme.com/osea-2016,"This event is supported under International Marketing Activities Programme (iMAP). For more details of the event, please contact the organiser",2019-03-24 12:15:06.915008
INSIDE 3D PRINTING SINGAPORE 2017,2017-02-14 00:00:00.000000,2017-02-14 00:00:00.000000,Singapore,https://gems.gevme.com/inside-3d-printing-singapore-2017,"B2B tradeshow & conference for the 3D printing industry. INSIDE 3D PRINTING SINGAPORE will enable visitors to partake in tutorials, conference sessions, network & explore business opportunities, policy considerations & the latest 3D printers & servicesThis event is supported under International Marketing Activities Programme (iMAP). For more detai...",2019-03-24 12:15:06.915008
BEAUTYASIA SINGAPORE 2017,2017-02-20 00:00:00.000000,2017-02-21 00:00:00.000000,Singapore,https://gems.gevme.com/beautyasia-singapore-2017,"BeautyAsia, Asia’s premium beauty trade exhibition continues to welcome industry professionals from all over the world to showcase the latest beauty products and trends. With an accretion of 20 years, the most established beauty extravaganza remains a one-stop, regional hub for leading technologies in the beauty and wellness industry. Incorporatin...",2019-03-24 12:15:06.915008
SWEETS & BAKES ASIA 2017,2017-03-02 00:00:00.000000,2017-03-03 00:00:00.000000,Singapore,https://gems.gevme.com/sweets-bakes-asia-2017,"The bakery and confectionery sectors are booming in Singapore and the ASEAN countries alongside the café industry. To keep up with the fast developing markets for superior quality pastries and dessert items, the Sweets & Bakes Asia 2017 will be the marketplace to showcase the latest bakery industry innovations to visitors seeking to keep up with t...",2019-03-24 12:15:06.915008
CAFE ASIA 2017,2017-03-02 00:00:00.000000,2017-03-03 00:00:00.000000,Singapore,https://gems.gevme.com/cafe-asia-2017,"Cafe Asia 2017 is a platform which offer the ideal one-stop convenient hub for professionals to source for supplies and explore business opportunities with both regional and international counterparts. They are the most dedicated events on the region’s café, coffee and tea industries in Singapore. As the only trade and consumer exhibitions in Sout...",2019-03-24 12:15:06.915008
LAST MILE FULFILMENT ASIA 2017 (LMFASIA 2017),2017-03-02 00:00:00.000000,2017-03-02 00:00:00.000000,Singapore,https://gems.gevme.com/last-mile-fulfilment-asia-2017-lmfasia-2017,"This is the 2nd edition of LMFAsia. This show will be an excellent opportunity for fulfilment centres, logistics companies, postal agencies and parcel courier companies to meet e-commerce companies and retailers and tap on business opportunities. We believe IMAP support will be able to assist more Singapore companies within the fulfilment ecosyste...",2019-03-24 12:15:06.915008
INTERNATIONAL FURNITURE FAIR SINGAPORE - MAR 2017,2017-03-09 00:00:00.000000,2017-03-11 00:00:00.000000,Singapore,https://gems.gevme.com/international-furniture-fair-singapore,"The IFFS/AFS and The Décor Show – feature a comprehensive range of furniture, furnishing, decorative accessories, interiors and fittings by a diverse portfolio of quality exhibitors, and attracts a healthy and well-represented attendance of trade buyers and visitors.This event is supported under International Marketing Activities Programme (iMAP)....",2019-03-24 12:15:06.915008
IOT ASIA 2017,2017-03-29 00:00:00.000000,2017-03-29 00:00:00.000000,Singapore,https://gems.gevme.com/iot-asia-2017,"IoT Asia 2017: Visit: http://www.internetofthingsasia.com/ The Internet of Things is opening up a world of opportunities for everyone from connected cars to connected healthcare to smart cities and even home automation. The World Economic Forum estimates that by 2020, about 50 billion things will be connected. In short, the Internet of Things adds...",2019-03-24 12:15:06.915008
MILIPOL ASIA- PACIFIC 2017,2017-04-04 00:00:00.000000,2017-04-05 00:00:00.000000,Singapore,https://gems.gevme.com/milipol-asia--pacific-2017,"Milipol Asia-Pac 2015 had attracted 5,000 overseas visitors (30%) from 45 countries, 188 exhibitors from 32 countries, 58 Oversea Official Delegations from 11 countries. 20 SMEs that took part in the last edition shown interest in returning for 2017.This event is supported under International Marketing Activities Programme (iMAP). For more details...",2019-03-24 12:15:06.915008
MTA 2017,2017-04-04 00:00:00.000000,2017-04-06 00:00:00.000000,Singapore,https://gems.gevme.com/mta-2017,"exhibition on precision engineering for manufacturing technologyThis event is supported under International Marketing Activities Programme (iMAP). For more details of the event, please contact the organiser",2019-03-24 12:15:06.915008
METROLOGY ASIA 2017,2017-04-04 00:00:00.000000,2017-04-06 00:00:00.000000,Singapore,https://gems.gevme.com/metrology-asia-2017,"exhibition on precision measurement and testing.This event is supported under International Marketing Activities Programme (iMAP). For more details of the event, please contact the organiser",2019-03-24 12:15:06.915008
UNMANNED SYSTEMS ASIA 2017,2017-04-18 00:00:00.000000,2017-04-19 00:00:00.000000,Singapore,https://gems.gevme.com/unmanned-systems-asia-2017,"The premier unmanned systems event in Asia presents the future of drones across a vast spectrum of commercial and defence applications, showcasing cutting edge technologies and solutions in aerial, ground, surface and underwater systems.This event is supported under International Marketing Activities Programme (iMAP). For more details of the event...",2019-03-24 12:15:06.915008
ROTOCRAFT ASIA 2017,2017-04-18 00:00:00.000000,2017-04-19 00:00:00.000000,Singapore,https://gems.gevme.com/rotocraft-asia-2017,"Rotorcraft Asia is a dedicated commercial and para-public helicopter event designed to tap the increasing wealth of opportunities in the thriving Asia-Pacific region. It spans the full rotorcraft supply chain, from airframes, components and parts, to avionics, safety systems, MROs and more. Other event highlights include business and technical con...",2019-03-24 12:15:06.915008
SEAMLESS ASIA 2017,2017-04-19 00:00:00.000000,2017-04-20 00:00:00.000000,Singapore,https://gems.gevme.com/seamless-asia-2017,"SEAMLESS ASIA, formerly known as Cards & Payments Asia is the leading conference and exhibition for the entire Asian payments ecosystem. Spanning 10,000sqm of exhibition space, making the event the largest payments show in Asia. This is an ideal place for solution and technology providers to showcase and demonstrate the very latest in payment solu...",2019-03-24 12:15:06.915008
SEAMLESS ASIA 2017 (FORMERLY CARDS AND PAYMENT ASIA),2017-04-19 00:00:00.000000,2017-04-19 00:00:00.000000,Singapore,https://gems.gevme.com/seamless-asia-2017-formerly-cards-and-payment-asia,Reasons for rebranding: Seamless is the key meeting place for the brave new world of commerce. It is an event built on 20 years of experience – a seamless continuity from Asia’s largest and longest running conference and exhibition focused on cards and payments to a dynamic summit and large scale exhibition bringing together the converging worlds ...,2019-03-24 12:15:06.915008
ASEAN-INDIA BUSINESS FORUM 2017,2017-04-21 00:00:00.000000,2017-04-21 00:00:00.000000,"Brunei Darussalam, Cambodia, India, Indonesia, Lao People's Democratic Republic, Malaysia, Myanmar, Philippines, Singapore, Thailand, Vietnam",https://gems.gevme.com/aibf2017,This forum will gather thought leaders from the public and private sectors to share the opportunities and outlook of these two sectors. Invited Ministers will also share their future plans and views on how greater economic integration and connectivity among the markets could enhance the business environment.,2019-03-24 12:15:06.915008
SEA ASIA 2017,2017-04-25 00:00:00.000000,2017-04-26 00:00:00.000000,Singapore,https://gems.gevme.com/sea-asia-2017,"This event is supported under International Marketing Activities Programme (iMAP). For more details of the event, please contact the organiser",2019-03-24 12:15:06.915008
CHILDREN BABY MATERNITY EXPO SEA 2017 (CBME SEA 2017),2017-04-25 00:00:00.000000,2017-04-26 00:00:00.000000,Singapore,https://gems.gevme.com/children-baby-maternity-expo-sea-2017-cbme-sea-2017,"""CBME South East Asia, the only business-to-business Children Baby and Maternity Products Exhibition in South East Asia, offers an excellent communication platform and a vast window of business opportunities for the children, baby and maternity related industry professionals. The third edition of CBME South East Asia will be held from 25-27 April ...",2019-03-24 12:15:06.915008
IMDEX ASIA 2017,2017-05-16 00:00:00.000000,2017-05-17 00:00:00.000000,Singapore,https://gems.gevme.com/imdex-asia-2017,"The success of the 2015 show reinforces IMDEX Asia's position as a must-attend event in the global maritime and defence calendar: 9,852 trade visitors from 62 countries/regions 70 VIP delegations from 41 countries Over 180 participating companies from 28 countries Over 500 business meetings took place between exhibitors and the VIP delegations IMD...",2019-03-24 12:15:06.915008
RADIOLOGYASIA 2017,2017-05-19 00:00:00.000000,2017-05-20 00:00:00.000000,Singapore,https://gems.gevme.com/radiologyasia-2017,"With the growth in demand in ASEAN and Asia for medical imaging equipment and the growing demand for higher quality healthcare, RadiologyAsia 2015 is well placed to be the major radiology event for Asia in the years to come. This fills the gap in ASEAN and Asia for a recurring event where radiology professionals and the medical imaging industry ca...",2019-03-24 12:15:06.915008
BROADCAST ASIA 2017,2017-05-23 00:00:00.000000,2017-05-24 00:00:00.000000,Singapore,https://gems.gevme.com/broadcast-asia-2017,"""Well established and recognised as Asia’s must attend international event for the pro-audio, film and broadcasting industry, BroadcastAsia2016 is back from 31 May – 3 June 2016 at Marina Bay Sands, Singapore. Make dynamic discoveries from leading brand owners at the event that will have an impact on your works. Gain insightful knowledge from the ...",2019-03-24 12:15:06.915008
ENTERPRISEIT 2017,2017-05-23 00:00:00.000000,2017-05-25 00:00:00.000000,Singapore,https://gems.gevme.com/enterpriseit-2017,"EnterpriseIT 2017 is held concurrently with CommunicAsia 2017 and BroadcastAsia 2017 from 23 to 25 May 2017 at Marina Bay Sands, Singapore. EnterpriseIT 2017 is the leading event for companies to obtain the latest innovations and solutions necessary for them to stay relevant in today’s rapidly evolving consumer-driven business landscape. These sol...",2019-03-24 12:15:06.915008
NXT@COMMUNICASIA 2017,2017-05-23 00:00:00.000000,2017-05-24 00:00:00.000000,Singapore,https://gems.gevme.com/nxt-communicasia-2017,"NXT @ CommunicAsia 2017 aims to showcase the latest technology and solutions designed to enhance connectivity and efficiency at different levels – city operations, business workflow and personal lives. Be part of NXT @ CommunicAsia that addresses the ENTIRE ICT ecosystem from 3D Printing, 4G/LTE, Connected Home Devices, Content Delivery Network (C...",2019-03-24 12:15:06.915008
COMMUNICASIA 2017,2017-05-23 00:00:00.000000,2017-05-24 00:00:00.000000,Singapore,https://gems.gevme.com/communicasia-2017,"""CommunicAsia - Asia’s most influential and relevant event for technological innovations relating to smart cities solutions, IOT, wearables, 5G, CDN, OTT, M2M, satellite services, multi-screen and many more. With the digital world advancing at breakneck speed, mobility and connectivity is Key in enabling applications which affect we live, work and...",2019-03-24 12:15:06.915008
IEEE INTERNATIONAL CONFERENCE ON ROBOTICS & AUTOMATION 2017 - ICRA 2017,2017-05-29 00:00:00.000000,2017-06-02 00:00:00.000000,Singapore,https://gems.gevme.com/ieee-international-conference-on-robotics-automation-2017---icra-2017,"Exhibiting in ICRA 2017 is the most cost effective way for companies to gain exposure in front of the world's leaders and future leaders in robotics and automation.This event is supported under International Marketing Activities Programme (iMAP). For more details of the event, please contact the organiser",2019-03-24 12:15:06.915008
AQUAREALM 2017,2017-06-15 00:00:00.000000,2017-06-18 00:00:00.000000,Singapore,https://gems.gevme.com/aquarealm-2017,"AquaRealm is Singapore’s brand new and largest trade event replacing Aquarama for the international ornamental aquatic industry. Packed with interesting, informative and innovative features, the programme which contains the following elements. International Conference: Presenting the latest developments affecting the industry, from the newest tech...",2019-03-24 12:15:06.915008
UNDERSTANDING SERVICES IN FREE TRADE AGREEMENTS - ENVIRONMENTAL SERVICES,2017-06-27 00:00:00.000000,2017-06-27 00:00:00.000000,Singapore,https://gems.gevme.com/understanding-FTAs,"Understanding Services in Free Trade Agreements - Environmental Services27 June 2017 2016 marked a shift in global sentiment from liberalisation towards protectionism, with key events such as Brexit and the withdrawal of the US from the Trans-Pacific Partnership (TPP) painting a seemingly bleak picture for trade. Yet, opportunities remain aplenty ...",2019-03-24 12:15:06.915008
INTERPOL WORLD 2017 (INFOCOMM SINGAPORE PAVILION),2017-07-05 00:00:00.000000,2017-07-07 00:00:00.000000,Singapore,https://gems.gevme.com/interpol-world-2017-iw-2017,"This event is supported under International Marketing Activities Programme (iMAP). For more details of the event, please contact the organiser",2019-03-24 12:15:06.915008
INTERPOL WORLD 2017,2017-07-05 00:00:00.000000,2017-07-07 00:00:00.000000,Singapore,https://gems.gevme.com/interpol-world-2017,"INTERPOL World is a biennial trade event which promotes public private partnerships and serve as a business platform for security manufacturers and service providers to offer innovative security solutions to law enforcement agencies, government officials and security professionals from the commercial sectors. INTERPOL World creates an environment ...",2019-03-24 12:15:06.915008
SINGAPORE GIFTS SHOW 2017,2017-07-12 00:00:00.000000,2017-07-14 00:00:00.000000,Singapore,https://gems.gevme.com/singapore-gifts-show-2017,"How big is the gifts industry? How do we define the gifts industry? The gifts industry encompasses all kind of souvenirs, mementoes, corporate gifts, premium gifts and general gifts. A parent buys a condominium for his children as a gift, or a car as a birthday gift – isn’t this part of the gift industry? It depends on how you package the event –l...",2019-03-24 12:15:06.915008
SINGAPORE GIFTS & PREMIUMS FAIR 2017,2017-07-26 00:00:00.000000,2017-07-28 00:00:00.000000,Singapore,https://gems.gevme.com/singapore-gifts-premiums-fair-2017,"Singapore International Trade Exhibition for Promotional, Corporate, Incentive and Retail Gifts. The Premier Platform for Gifts Sourcing.This event is supported under International Marketing Activities Programme (iMAP). For more details of the event, please contact the organiser",2019-03-24 12:15:06.915008
OFFICE EXPO ASIA 2017,2017-07-26 00:00:00.000000,2017-07-28 00:00:00.000000,Singapore,https://gems.gevme.com/office-expo-asia-2017,"Allow participating companies to increase their sales and businesses through new leads from the region. Bring more oversea buyer and exhibitors. Other expected national pavilions will be China, Malaysia, Japan, Taiwan. This event is supported under International Marketing Activities Programme (iMAP). For more details of the event, please contact t...",2019-03-24 12:15:06.915008
TTA / PRO AVL ASIA / SYSTEMS EXPO ASIA 2017,2017-07-26 00:00:00.000000,2017-07-28 00:00:00.000000,Singapore,https://gems.gevme.com/tta-pro-avl-asia-systems-expo-asia-2017,"An international exhibition showcasing the latest technologies and products serving the modernization of the tourism industry and its infrastructure space bringing together content, software, and hardware that create awe-inspiring experiences for the industry. This event is supported under International Marketing Activities Programme (iMAP). For m...",2019-03-24 12:15:06.915008
PRINT PACK + SIGN 2017,2017-07-26 00:00:00.000000,2017-07-28 00:00:00.000000,Singapore,https://gems.gevme.com/print-pack-sign-2017,"Printpack+Sign (PP+S) is the only event in Singapore that brings together all businesses to find solutions for their printing, packaging and signage needs. Bringing together the best in the printing , packaging and signage industries, PP+S is a must attend for anyone from the region involved in the sector. Complimentary informative on floor semina...",2019-03-24 12:15:06.915008
FUTUREMED 2017,2017-08-24 00:00:00.000000,2017-08-26 00:00:00.000000,Singapore,https://gems.gevme.com/futuremed-2017,"The FutureMed Expo is organised by the Singapore Medical Association as its flagship event as part of the Singapore Medical Week. Aside from the expo, the event features 3 days of conference focusing on the latest trends in healthcare and medical technologies that showcases the latest in medical application and technologiesThis event is supported ...",2019-03-24 12:15:06.915008
BUILD ECO XPO (BEX ASIA 2017),2017-09-12 00:00:00.000000,2017-09-14 00:00:00.000000,Singapore,https://gems.gevme.com/build-eco-xpo-bex-asia-2017,BEX Asia stands as the anchor trade business exhibition for the Singapore Green Building Week. This platform puts Singaporean businesses in good stead to be viewed as leader in the green built environment for the region. BEX Asia aligns closely with our strategic partners to achieve the vision to be a SMART nation and to green 80% of buildings by ...,2019-03-24 12:15:06.915008
GOVERNMENTWARE 2017 (GOVWARE 2017),2017-09-19 00:00:00.000000,2017-09-21 00:00:00.000000,Singapore,https://gems.gevme.com/governmentware-2017-govware-2017,"The Cyber Security Agency of Singapore (CSA), in partnership with the Ministry of Home Affairs (MHA) and GovTech, is proud to present the 26th GovernmentWare (GovWare) conference & exhibition. The event will be held in October 2017 at the Suntec Singapore International Convention & Exhibition Centre. This event is supported under International Mar...",2019-03-24 12:15:06.915008
